User,Tweet,Date
InfoMigrants,"Ajabana* was arrested last January while demonstrating outside an administrative center of the UNHCR in Tripoli, Libya. 

Since then, he has been locked up in the notorious Ain Zara prison. 

He described the experience to InfoMigrants. 👇🏾

https://t.co/OlUM0E42fa",2022-10-07 11:33:00+00:00
InfoMigrants,"""These settlements must become a thing of the past. We can no longer cry for dead workers, we must no longer accept these unhealthy settlements, the exploitation by gangmasters.""

The appeal comes after a fire at a migrant workers' shantytown in Puglia.

https://t.co/HMHpAe1znT",2022-10-07 09:30:00+00:00
InfoMigrants,"A court in The Hague railed against conditions at asylum centers in the Netherlands. 

The situation got so bad this summer that Doctors Without Borders deployed teams over humanitarian concerns.

https://t.co/u96e5C1i2Y",2022-10-07 08:42:47+00:00
InfoMigrants,"📷 These migrant women work as domestic workers in Beirut. 

Many migrants in Lebanon are part of the Kafala System. It gives employers total control over migrants' employment and immigration status.

Human rights experts say this 'modern slavery' system breeds exploitation. https://t.co/l4OqEzfpEH",2022-10-07 06:57:00+00:00
InfoMigrants,"A 38-year-old man accused of running a large human trafficking ring has been extradited to the Netherlands. 

He had been arrested in Ethiopia two years ago. 
https://t.co/DG4DvBc2D0",2022-10-06 15:19:21+00:00
InfoMigrants,"RT @alarm_phone: ⚫Tragedy in front of #Tunisia
Found and identified the body of the woman who left #Zarzis 15 days ago as part of a group o…",2022-10-06 14:57:08+00:00
InfoMigrants,"UN experts say that people of African descent face 'systemic racism' in Switzerland by law enforcement and the judicial system. 

They found that the presence of  racism is often underestimated and  not taken seriously by many authorities.
https://t.co/ujg2YXPSaC",2022-10-06 14:37:12+00:00
InfoMigrants,"Today is the last day to vote for our podcast Tales from the Border as best documentary series in the Lovie Awards. 

Listen here: https://t.co/ZJsushBxjA

Vote here: https://t.co/f4orJshMC4 https://t.co/7CZmAY1wo2",2022-10-06 11:20:34+00:00
InfoMigrants,"Armed police raided a makeshift migrant camp in Serbia near the border with Hungary, confiscating phones and money, and escorting  migrants away from the camp.

Interior Minister Aleksandar Vulin said Serbia ""will not be a parking lot for migrants.""
https://t.co/pvDWnnv39C",2022-10-06 10:32:37+00:00
InfoMigrants,"Two boat accidents off Greece have left at least 18 people dead, dozens are missing.

A boat with up to 100 migrants crashed into rocks off Kythera.

A boat with ~40 migrants sank near Lesbos. 9 people were rescued, 16 bodies have been recovered so far. 
https://t.co/96nMGdK0sS",2022-10-06 09:11:07+00:00
InfoMigrants,"The Centro Penc in Palermo, Italy, offers a safe space for women and girls and is designed to support migrant women build a future in Italy. 
https://t.co/0opNDbvfZk",2022-10-06 07:09:00+00:00
InfoMigrants,"📷The Netherlands are turning to unusual places to serve as housing for asylum seekers following criticism over overcrowding at their Ter Apel facility.
 
These fields usually host music festivals. But for the next 6 months, they will house a camp for up to 1500 asylum seekers. https://t.co/sbJmH2t6s2",2022-10-05 15:36:00+00:00
InfoMigrants,"In the Italian town of Asti, Pakistani asylum seekers have been staging a protest for ~40 days. Their demand: To be granted refugee status. 

They have reportedly been refused entry into the local reception center because there's no spots available. 
https://t.co/7wUvwEddCo",2022-10-05 14:35:26+00:00
InfoMigrants,"Friedrich Merz, the leader of Germany's largest opposition party, has reiterated claims that the country’s social welfare system is acting as a 'pull factor' for migrants.
https://t.co/wtCKegOMo7",2022-10-05 13:26:00+00:00
InfoMigrants,"56 migrants were rescued by a tanker in the Eastern Mediterranean this weekend. 

More and more people are trying to travel from Turkey to Italy, often running into trouble off the western coast of Greece. 
https://t.co/m3ggG7zXP2",2022-10-05 12:26:00+00:00
InfoMigrants,"The #LouiseMichel rescued 48 migrants and refugees from an overcrowded boat in the Mediterranean early on Wednesday. 

Just a couple of days ago, 88 rescued people disembarked from the ship in Sicily.
https://t.co/vxsTcHrDSN",2022-10-05 11:17:00+00:00
InfoMigrants,"British Interior Minister Suella Braverman wants to introduce new legislation enabling the UK to deport anyone coming to the country by boat from France.

30,000+ migrants have crossed the Channel so far in 2022, despite plans to deport arrivals to Rwanda.
https://t.co/O2xgk7xgIg",2022-10-05 10:22:29+00:00
InfoMigrants,"RT @InfoMigrants: Some surviviors of a massive shipwreck off Lampedusa in 2013 spoke at a commemorative event recently. 

""I feel guilty. W…",2022-10-05 08:35:03+00:00
InfoMigrants,"They were enslaved, raped or murdered: In 2014, thousands of Yazidis suffered a gruesome fate at the hands of the IS terror militia. 

Over 1,000 Yazidis have found refuge in Germany since 2015. 

Two of them told us their story 👇🏼
https://t.co/cSfqZa7rC6

https://t.co/cSfqZa7rC6",2022-10-04 15:22:00+00:00
InfoMigrants,"The former German Chancellor Angela Merkel has received the UNHCR's highest award for her efforts to welcome 1 million+ people to 🇩🇪 in 2015/16.

UNHCR praised Merkel's determination to fight for refugee protection, human rights and international law.

https://t.co/pxduaWAEjw",2022-10-04 14:24:00+00:00
InfoMigrants,"Germany will now consider queer refugees at risk of persecution in their home countries, whether or not they openly live with their identity and orientation.

The new rules went into effect on Saturday.

https://t.co/a3Us3uciPm",2022-10-04 13:44:00+00:00
InfoMigrants,"Some surviviors of a massive shipwreck off Lampedusa in 2013 spoke at a commemorative event recently. 

""I feel guilty. Why did I survive and not them, my daughters. Why?"", wondered a man from Syria who lost his four daughters in the boat tragedy.

https://t.co/oKwkqRFZsf",2022-10-04 12:50:00+00:00
InfoMigrants,"Migrant arrivals in Italy 🇮🇹 so far in 2022 (Jan-Sept):

➡️71,000 overall arrivals 

➡️ Half were rescued at sea (by NGOs, coast guard, merchant ships...)

➡️ the other 35,000 landed on their own

➡️ Of those rescued, 10,000 were rescued by NGO-run ships

https://t.co/GJiDcJnMpH",2022-10-04 11:44:00+00:00
InfoMigrants,"You can still vote for our InfoMigrants podcast ""Tales from the Border"" until October 6. 

It was selected as a finalist at the Lovie Awards (Podcasts in Documentary) 

The winners will be announced December 2. https://t.co/7CZmAXJUZs",2022-10-04 10:22:00+00:00
InfoMigrants,"After reintroducing border checks, Central European leaders (Hungary, Austria and Serbia) have been discussing further measures to block migrants who use their countries as transit routes to the rest of the EU.

https://t.co/WJfWJ7RvUr",2022-10-04 09:18:00+00:00
InfoMigrants,"Rwanda likes to think of itself as a 'promised land' for refugees, but does the reality match the image portrayed in the national press? https://t.co/mLoC7G2sQm",2022-10-04 07:08:00+00:00
InfoMigrants,"EU countries are issuing more deportation orders against non-EU citizens.

In Q2/2022, France issued the most orders (33,450), though only 3,590 actually happeed.

Overall, 96,000-plus 3rd-country nationals were due to leave EU countries in Q2 alone.

https://t.co/SXeMCeBkxh",2022-10-04 02:59:54+00:00
InfoMigrants,"📷:On October 1, a van crashed after reportedly trying to avoid police controls in the Czech Republic. The van was reportedly carrying 29 migrants from Syria. Several people were injured in the crash.

Photo: Vaclav Salek / picture alliance / dpa / CTK https://t.co/QaFcdLK4K6",2022-10-03 17:38:00+00:00
InfoMigrants,"On this day (October 3) nine years ago, over 360 people lost their lives when a ship sunk off the coast of Lampedusa. Today on Lampedusa, as every year since, a memorial was held for those people and all the others who have died trying to cross the Mediterranean. https://t.co/cfoKM5WOyk",2022-10-03 15:45:00+00:00
InfoMigrants,"The UN Refugee Agency UNHCR has been busy awarding ""the extraordinary people who go above and beyond for people forced to flee their homes"" with its Nansen Award. 👇 https://t.co/fC3mCoedBc",2022-10-03 14:37:00+00:00
InfoMigrants,"A top Vatican official has warned Italy's future leaders that it needs to consider helping migrants ""an obligation.""
https://t.co/yOr00aG7Bd",2022-10-03 13:26:00+00:00
InfoMigrants,"Over the last two years, Greece has been busy relocating unaccompanied minors to other European states.
More than 2,000 though remain in the country, said the Ministry for Migration.
https://t.co/PeCOgqkG93",2022-10-03 12:32:00+00:00
InfoMigrants,"At the weekend, Spanish coastguards recovered a migrant boat off one of Spain's Canary Islands, rescuing a sole survivor and retrieving the bodies of four deceased people.
https://t.co/SbfOX3PyXG",2022-10-03 11:43:00+00:00
InfoMigrants,"A new art project aims to help migrants in detention in Lithuania cope with the mental health strain this can put on them. This picture depicts the headaches and sleepless nights experienced by the artist, a former Nato translator from Iraq.
https://t.co/qy2nusIaq8",2022-10-03 10:50:24+00:00
InfoMigrants,"Hello, our InfoMigrants' podcast Tales from the Border is a finalist @lovieawards! Help us get over the finish line. If you haven't already and would like to, please VOTE for us before Thursday, October 6! #Lovies Just follow the link below 👇 Thank you.
https://t.co/f4orJs0bdu https://t.co/f5dkFjt45i",2022-10-03 09:40:00+00:00
